time_step,temperature
3.600000000000000000e+02,7.535709637784236692e-02
3.610000000000000000e+02,7.532096744882120498e-02
3.620000000000000000e+02,7.529479834293061058e-02
3.630000000000000000e+02,7.526928515310316037e-02
3.640000000000000000e+02,7.523275853055093332e-02
3.650000000000000000e+02,7.521525877606494159e-02
3.660000000000000000e+02,7.512883084412254331e-02
3.670000000000000000e+02,7.502923772279539161e-02
3.680000000000000000e+02,7.492257166402158108e-02
3.690000000000000000e+02,7.485196771514075753e-02
3.700000000000000000e+02,7.480594263462235494e-02
3.710000000000000000e+02,7.471799774512218051e-02
3.720000000000000000e+02,7.465021236023990092e-02
3.730000000000000000e+02,7.460752192796281379e-02
3.740000000000000000e+02,7.459168937536195254e-02
3.750000000000000000e+02,7.460464789187691570e-02
3.760000000000000000e+02,7.457661475973013931e-02
3.770000000000000000e+02,7.455447002155528302e-02
3.780000000000000000e+02,7.450582069627327553e-02
3.790000000000000000e+02,7.447949906062432956e-02
3.800000000000000000e+02,7.449154016576849113e-02
3.810000000000000000e+02,7.451000444856011040e-02
3.820000000000000000e+02,7.454116540399265134e-02
3.830000000000000000e+02,7.458582516462514134e-02
3.840000000000000000e+02,7.462258903055404846e-02
3.850000000000000000e+02,7.470318612428393512e-02
3.860000000000000000e+02,7.470744443471405427e-02
3.870000000000000000e+02,7.473638531484821934e-02
3.880000000000000000e+02,7.479068188270206197e-02
3.890000000000000000e+02,7.484435269829516069e-02
3.900000000000000000e+02,7.486524475941597201e-02
3.910000000000000000e+02,7.488035302682374827e-02
3.920000000000000000e+02,7.487773871248143420e-02
3.930000000000000000e+02,7.487831883062413818e-02
3.940000000000000000e+02,7.486541865242755944e-02
3.950000000000000000e+02,7.485124235497198075e-02
3.960000000000000000e+02,7.482592759393097426e-02
3.970000000000000000e+02,7.484446613880486876e-02
3.980000000000000000e+02,7.489114125280517398e-02
3.990000000000000000e+02,7.495074028759167450e-02
4.000000000000000000e+02,7.498022533346875018e-02
4.010000000000000000e+02,7.502008145376612425e-02
4.020000000000000000e+02,7.503567719902906608e-02
4.030000000000000000e+02,7.503694078967430847e-02
4.040000000000000000e+02,7.503669855504381536e-02
4.050000000000000000e+02,7.497477183589876248e-02
4.060000000000000000e+02,7.497269604457913739e-02
4.070000000000000000e+02,7.493374364745479521e-02
4.080000000000000000e+02,7.489070426548906367e-02
4.090000000000000000e+02,7.485793287491905590e-02
4.100000000000000000e+02,7.485384011493775858e-02
4.110000000000000000e+02,7.487800852581276423e-02
4.120000000000000000e+02,7.489987097713571296e-02
4.130000000000000000e+02,7.491971201186337082e-02
4.140000000000000000e+02,7.498633808671510692e-02
4.150000000000000000e+02,7.499492228087457912e-02
4.160000000000000000e+02,7.497022148620292870e-02
4.170000000000000000e+02,7.493511376517943134e-02
4.180000000000000000e+02,7.492642716192314534e-02
4.190000000000000000e+02,7.494219509258411016e-02
4.200000000000000000e+02,7.492119661227315819e-02
4.210000000000000000e+02,7.487861478867204046e-02
4.220000000000000000e+02,7.485463724638369287e-02
4.230000000000000000e+02,7.485775719550508134e-02
4.240000000000000000e+02,7.486352661744628822e-02
4.250000000000000000e+02,7.487808942075364904e-02
4.260000000000000000e+02,7.492715169134245290e-02
4.270000000000000000e+02,7.497471770290863036e-02
4.280000000000000000e+02,7.499377986925533091e-02
4.290000000000000000e+02,7.495230992867034370e-02
4.300000000000000000e+02,7.486319392953692808e-02
4.310000000000000000e+02,7.481797890580654808e-02
4.320000000000000000e+02,7.473371750753678155e-02
4.330000000000000000e+02,7.470413870749917362e-02
4.340000000000000000e+02,7.471649474176560168e-02
4.350000000000000000e+02,7.469272915098178200e-02
4.360000000000000000e+02,7.467398671143446465e-02
4.370000000000000000e+02,7.469556562789590737e-02
4.380000000000000000e+02,7.470316887743776169e-02
4.390000000000000000e+02,7.469102561692818332e-02
4.400000000000000000e+02,7.468690481540599113e-02
4.410000000000000000e+02,7.467245398273858470e-02
4.420000000000000000e+02,7.462882796980739586e-02
4.430000000000000000e+02,7.460156063171465013e-02
4.440000000000000000e+02,7.460076985860014664e-02
4.450000000000000000e+02,7.454300991796188047e-02
4.460000000000000000e+02,7.451012215860461363e-02
4.470000000000000000e+02,7.450050072787074706e-02
4.480000000000000000e+02,7.446445839361021113e-02
4.490000000000000000e+02,7.442861111008237940e-02
4.500000000000000000e+02,7.443803206269411499e-02
4.510000000000000000e+02,7.442258639715186586e-02
4.520000000000000000e+02,7.442809071267693366e-02
4.530000000000000000e+02,7.440024697497506223e-02
4.540000000000000000e+02,7.436621279559431363e-02
4.550000000000000000e+02,7.429349965752747587e-02
4.560000000000000000e+02,7.422215294935716190e-02
4.570000000000000000e+02,7.416392144890092408e-02
4.580000000000000000e+02,7.415886285932565825e-02
4.590000000000000000e+02,7.415093334750640086e-02
4.600000000000000000e+02,7.415154925700381816e-02
4.610000000000000000e+02,7.413532670593300788e-02
4.620000000000000000e+02,7.410103083887327469e-02
4.630000000000000000e+02,7.408253826722573099e-02
4.640000000000000000e+02,7.408330933820160558e-02
4.650000000000000000e+02,7.411280243900496278e-02
4.660000000000000000e+02,7.411000992690443268e-02
4.670000000000000000e+02,7.413226880587842071e-02
4.680000000000000000e+02,7.414321528924863736e-02
4.690000000000000000e+02,7.418000062670028483e-02
4.700000000000000000e+02,7.423351429052257866e-02
4.710000000000000000e+02,7.433066995072633298e-02
4.720000000000000000e+02,7.440199247233085511e-02
4.730000000000000000e+02,7.444246406721058418e-02
4.740000000000000000e+02,7.449254516175508878e-02
4.750000000000000000e+02,7.458390153912720921e-02
4.760000000000000000e+02,7.466753795246894310e-02
4.770000000000000000e+02,7.479755382571896816e-02
4.780000000000000000e+02,7.485889996344026465e-02
4.790000000000000000e+02,7.497789172786616108e-02
4.800000000000000000e+02,7.507949187242747568e-02
4.810000000000000000e+02,7.519095009820084274e-02
4.820000000000000000e+02,7.530933737950444573e-02
4.830000000000000000e+02,7.539865454613113582e-02
4.840000000000000000e+02,7.547846563058675795e-02
4.850000000000000000e+02,7.556045257926699565e-02
4.860000000000000000e+02,7.562967040328559543e-02
4.870000000000000000e+02,7.566661227792774447e-02
4.880000000000000000e+02,7.569343788528230810e-02
4.890000000000000000e+02,7.572942574860157261e-02
4.900000000000000000e+02,7.579881791484643916e-02
4.910000000000000000e+02,7.586610624863987518e-02
4.920000000000000000e+02,7.596596238021861847e-02
4.930000000000000000e+02,7.600381771663429487e-02
4.940000000000000000e+02,7.602604534416472493e-02
4.950000000000000000e+02,7.606791021583801660e-02
4.960000000000000000e+02,7.613273867675210416e-02
4.970000000000000000e+02,7.618339668194799852e-02
4.980000000000000000e+02,7.625090981933858869e-02
4.990000000000000000e+02,7.630305119429671434e-02
5.000000000000000000e+02,7.637084580355406327e-02
5.010000000000000000e+02,7.645255953163887508e-02
5.020000000000000000e+02,7.654728373127708818e-02
5.030000000000000000e+02,7.661401389265995454e-02
5.040000000000000000e+02,7.666892536302302719e-02
5.050000000000000000e+02,7.671527774949014888e-02
5.060000000000000000e+02,7.676148306586912107e-02
5.070000000000000000e+02,7.682583275568914682e-02
5.080000000000000000e+02,7.688666662804936880e-02
