epoch,loss,training_field
3.600000000000000000e+01,2.279927244574999528e-04,1.000000000000000000e+00
3.700000000000000000e+01,4.838344220660231797e-04,1.000000000000000000e+00
3.800000000000000000e+01,5.158199134542905493e-04,1.000000000000000000e+00
3.900000000000000000e+01,3.100828196431647450e-04,1.000000000000000000e+00
4.000000000000000000e+01,7.105966474681169878e-05,1.000000000000000000e+00
4.100000000000000000e+01,4.568075155987240743e-06,1.000000000000000000e+00
4.200000000000000000e+01,1.252659554965074372e-04,1.000000000000000000e+00
4.300000000000000000e+01,2.700222408716255670e-04,1.000000000000000000e+00
4.400000000000000000e+01,2.811369018454078412e-04,1.000000000000000000e+00
4.500000000000000000e+01,1.568621292890395066e-04,1.000000000000000000e+00
4.600000000000000000e+01,2.756225124511527992e-05,1.000000000000000000e+00
4.700000000000000000e+01,7.825617557595407553e-06,1.000000000000000000e+00
4.800000000000000000e+01,8.683775052500575958e-05,1.000000000000000000e+00
4.900000000000000000e+01,1.593920686900039696e-04,1.000000000000000000e+00
5.000000000000000000e+01,1.456803777729048647e-04,1.000000000000000000e+00
5.100000000000000000e+01,6.624378830634970413e-05,1.000000000000000000e+00
5.200000000000000000e+01,4.983969744291062111e-06,1.000000000000000000e+00
5.300000000000000000e+01,1.428904499037676009e-05,1.000000000000000000e+00
5.400000000000000000e+01,6.616827576319761700e-05,1.000000000000000000e+00
5.500000000000000000e+01,9.387626027217826072e-05,1.000000000000000000e+00
5.600000000000000000e+01,6.754316589513409668e-05,1.000000000000000000e+00
5.700000000000000000e+01,1.959244395541520720e-05,1.000000000000000000e+00
5.800000000000000000e+01,1.207557560591452016e-07,1.000000000000000000e+00
5.900000000000000000e+01,2.089579738783614842e-05,1.000000000000000000e+00
6.000000000000000000e+01,4.900939384234503959e-05,1.000000000000000000e+00
6.100000000000000000e+01,4.965407756305876836e-05,1.000000000000000000e+00
6.200000000000000000e+01,2.401402558093613320e-05,1.000000000000000000e+00
6.300000000000000000e+01,2.013185774883997795e-06,1.000000000000000000e+00
6.400000000000000000e+01,4.774935672009305958e-06,1.000000000000000000e+00
6.500000000000000000e+01,2.266896156394891126e-05,1.000000000000000000e+00
6.600000000000000000e+01,3.102948349016315888e-05,1.000000000000000000e+00
6.700000000000000000e+01,2.030219182877436492e-05,1.000000000000000000e+00
6.800000000000000000e+01,4.310172921296471871e-06,1.000000000000000000e+00
6.900000000000000000e+01,6.439653470780813741e-07,1.000000000000000000e+00
7.000000000000000000e+01,9.913364282092937784e-06,1.000000000000000000e+00
7.100000000000000000e+01,1.789126586580176440e-05,1.000000000000000000e+00
7.200000000000000000e+01,1.442259996663555494e-05,1.000000000000000000e+00
7.300000000000000000e+01,4.535206403934743042e-06,1.000000000000000000e+00
7.400000000000000000e+01,1.066035566953178654e-08,1.000000000000000000e+00
7.500000000000000000e+01,4.367587467816232155e-06,1.000000000000000000e+00
7.600000000000000000e+01,1.007670439979288550e-05,1.000000000000000000e+00
7.700000000000000000e+01,9.362232006392063780e-06,1.000000000000000000e+00
7.800000000000000000e+01,3.578270866815611086e-06,1.000000000000000000e+00
7.900000000000000000e+01,3.017536427269421132e-08,1.000000000000000000e+00
8.000000000000000000e+01,2.084687048788432826e-06,1.000000000000000000e+00
8.100000000000000000e+01,5.752779204041821992e-06,1.000000000000000000e+00
8.200000000000000000e+01,5.796948132400331526e-06,1.000000000000000000e+00
8.300000000000000000e+01,2.408921827677298566e-06,1.000000000000000000e+00
8.400000000000000000e+01,4.752752446579004932e-08,1.000000000000000000e+00
8.500000000000000000e+01,1.140113183444554617e-06,1.000000000000000000e+00
8.600000000000000000e+01,3.397890181152963525e-06,1.000000000000000000e+00
