time_ps,raw_memory_ps2,fitted_memory_ps2
2.670000000000e-01,6.011052472287e-01,6.011646768028e-01
2.680000000000e-01,5.907350553501e-01,5.907933891606e-01
2.690000000000e-01,5.804813495005e-01,5.805390003529e-01
2.700000000000e-01,5.703429074771e-01,5.704000553998e-01
2.710000000000e-01,5.603186822311e-01,5.603754369780e-01
2.720000000000e-01,5.504084229363e-01,5.504637235011e-01
2.730000000000e-01,5.406087370478e-01,5.406627132348e-01
2.740000000000e-01,5.309164054928e-01,5.309705324455e-01
2.750000000000e-01,5.213323799515e-01,5.213865871553e-01
2.760000000000e-01,5.118572461417e-01,5.119104190572e-01
2.770000000000e-01,5.024882977948e-01,5.025406934875e-01
2.780000000000e-01,4.932242690034e-01,4.932756807000e-01
2.790000000000e-01,4.840628894039e-01,4.841137584158e-01
2.800000000000e-01,4.750031487134e-01,4.750537270456e-01
2.810000000000e-01,4.660447951694e-01,4.660946471776e-01
2.820000000000e-01,4.571858381776e-01,4.572356354064e-01
2.830000000000e-01,4.484266313903e-01,4.484760175854e-01
2.840000000000e-01,4.397664959643e-01,4.398148336554e-01
2.850000000000e-01,4.312025946849e-01,4.312508043902e-01
2.860000000000e-01,4.227355116400e-01,4.227828402996e-01
2.870000000000e-01,4.143627342073e-01,4.144098924468e-01
2.880000000000e-01,4.060845415498e-01,4.061309725009e-01
2.890000000000e-01,3.978992459425e-01,3.979448450392e-01
2.900000000000e-01,3.898050351091e-01,3.898500684101e-01
2.910000000000e-01,3.818009745431e-01,3.818453407245e-01
2.920000000000e-01,3.738854263125e-01,3.739295685485e-01
2.930000000000e-01,3.660585279154e-01,3.661016835353e-01
2.940000000000e-01,3.583177306958e-01,3.583603745719e-01
2.950000000000e-01,3.506620695173e-01,3.507045213529e-01
2.960000000000e-01,3.430917916934e-01,3.431330489673e-01
2.970000000000e-01,3.356036058103e-01,3.356446423650e-01
2.980000000000e-01,3.281973140532e-01,3.282386219377e-01
2.990000000000e-01,3.208739115507e-01,3.209148980960e-01
3.000000000000e-01,3.136324491872e-01,3.136731440325e-01
3.010000000000e-01,3.064723644598e-01,3.065127870025e-01
3.020000000000e-01,2.993932567741e-01,2.994331341833e-01
3.030000000000e-01,2.923937877558e-01,2.924333656581e-01
3.040000000000e-01,2.854735628715e-01,2.855127107301e-01
3.050000000000e-01,2.786314711815e-01,2.786704890578e-01
3.060000000000e-01,2.718677720809e-01,2.719058808122e-01
